name,latitude,longitude,has_ebikes,free_bikes,renting,returning,slots
de Lisieux / Jean-Talon,45.57934937043077,-73.58168095350266,True,2,1,1,19
de Gaspé / Dante,45.53429782539273,-73.61217230558395,True,3,1,1,23
Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,True,0,1,1,15
Alton-Goldbloom / Notre-Dame,45.54502601340392,-73.73787671327591,True,12,1,1,19
Bloomfield / Van Horne,45.522745298216094,-73.61328139901161,True,3,1,1,23
Place des Festivals ( du Président-Kennedy / de Bleury),45.50764392965887,-73.56932401657104,True,22,1,1,27
de la Roche / Bélanger,45.541669595766315,-73.60760450363159,True,9,1,1,23
Campus MIL (Outremont / Thérèse-Lavoie Roux),45.52311432992147,-73.61815363168716,True,2,1,1,23
Le Corbusier / St-Martin O,45.565006717407506,-73.7319054454565,True,5,1,1,19
Place du Canada (Peel / des Canadiens-de-Montréal),45.49788352593901,-73.56856763362885,True,0,1,1,26
